Date,Open,High,Low,Close
1979-10-16,4.2283,4.2283,4.2283,4.2283
1979-10-17,4.2363,4.2363,4.2363,4.2363
1979-10-18,4.2222,4.2222,4.2222,4.2222
1979-10-19,4.2297,4.2297,4.2297,4.2297
1979-10-22,4.2337,4.2337,4.2337,4.2337
1979-10-23,4.2576,4.2576,4.2576,4.2576
1979-10-24,4.25,4.25,4.25,4.25
1979-10-25,4.2418,4.2418,4.2418,4.2418
1979-10-26,4.24,4.24,4.24,4.24
1979-10-29,4.2593,4.2593,4.2593,4.2593
1979-10-30,4.2568,4.2568,4.2568,4.2568
1979-10-31,4.2525,4.2525,4.2525,4.2525
1979-11-01,4.2495,4.2495,4.2495,4.2495
1979-11-02,4.2498,4.2498,4.2498,4.2498
1979-11-05,4.2349,4.2349,4.2349,4.2349
1979-11-07,4.2417,4.2417,4.2417,4.2417
1979-11-08,4.2452,4.2452,4.2452,4.2452
1979-11-09,4.2584,4.2584,4.2584,4.2584
1979-11-13,4.2639,4.2639,4.2639,4.2639
1979-11-14,4.246,4.246,4.246,4.246
1979-11-15,4.2367,4.2367,4.2367,4.2367
1979-11-16,4.2317,4.2317,4.2317,4.2317
1979-11-19,4.2001,4.2001,4.2001,4.2001
1979-11-20,4.2025,4.2025,4.2025,4.2025
1979-11-21,4.1906,4.1906,4.1906,4.1906
1979-11-23,4.2113,4.2113,4.2113,4.2113
1979-11-26,4.2062,4.2062,4.2062,4.2062
1979-11-27,4.193,4.193,4.193,4.193
1979-11-28,4.2004,4.2004,4.2004,4.2004
1979-11-29,4.1881,4.1881,4.1881,4.1881
1979-11-30,4.1789,4.1789,4.1789,4.1789
1979-12-03,4.1331,4.1331,4.1331,4.1331
1979-12-04,4.1739,4.1739,4.1739,4.1739
1979-12-05,4.1987,4.1987,4.1987,4.1987
1979-12-06,4.2007,4.2007,4.2007,4.2007
1979-12-07,4.2157,4.2157,4.2157,4.2157
1979-12-10,4.204,4.204,4.204,4.204
1979-12-11,4.1895,4.1895,4.1895,4.1895
1979-12-12,4.1817,4.1817,4.1817,4.1817
1979-12-13,4.1808,4.1808,4.1808,4.1808
1979-12-14,4.1764,4.1764,4.1764,4.1764
1979-12-17,4.1862,4.1862,4.1862,4.1862
1979-12-18,4.1804,4.1804,4.1804,4.1804
1979-12-19,4.1779,4.1779,4.1779,4.1779
1979-12-20,4.1813,4.1813,4.1813,4.1813
1979-12-21,4.1853,4.1853,4.1853,4.1853
1979-12-24,4.1794,4.1794,4.1794,4.1794
1979-12-26,4.1765,4.1765,4.1765,4.1765
1979-12-27,4.1387,4.1387,4.1387,4.1387
1979-12-28,4.151,4.151,4.151,4.151
1979-12-31,4.1477,4.1477,4.1477,4.1477
1980-01-02,4.1385,4.1385,4.1385,4.1385
1980-01-03,4.1311,4.1311,4.1311,4.1311
1980-01-04,4.137,4.137,4.137,4.137
1980-01-07,4.1282,4.1282,4.1282,4.1282
1980-01-08,4.1413,4.1413,4.1413,4.1413
1980-01-09,4.137,4.137,4.137,4.137
1980-01-10,4.1356,4.1356,4.1356,4.1356
1980-01-11,4.1356,4.1356,4.1356,4.1356
1980-01-14,4.1404,4.1404,4.1404,4.1404
1980-01-15,4.1502,4.1502,4.1502,4.1502
1980-01-16,4.1453,4.1453,4.1453,4.1453
1980-01-17,4.1459,4.1459,4.1459,4.1459
1980-01-18,4.1473,4.1473,4.1473,4.1473
1980-01-21,4.1449,4.1449,4.1449,4.1449
1980-01-22,4.1609,4.1609,4.1609,4.1609
1980-01-23,4.1541,4.1541,4.1541,4.1541
1980-01-24,4.1532,4.1532,4.1532,4.1532
1980-01-25,4.156,4.156,4.156,4.156
1980-01-28,4.1662,4.1662,4.1662,4.1662
1980-01-29,4.1662,4.1662,4.1662,4.1662
1980-01-30,4.1589,4.1589,4.1589,4.1589
1980-01-31,4.1705,4.1705,4.1705,4.1705
1980-02-01,4.1614,4.1614,4.1614,4.1614
1980-02-04,4.1599,4.1599,4.1599,4.1599
1980-02-05,4.1594,4.1594,4.1594,4.1594
1980-02-06,4.1401,4.1401,4.1401,4.1401
1980-02-07,4.1483,4.1483,4.1483,4.1483
1980-02-08,4.1609,4.1609,4.1609,4.1609
1980-02-11,4.1488,4.1488,4.1488,4.1488
1980-02-13,4.1463,4.1463,4.1463,4.1463
1980-02-14,4.1522,4.1522,4.1522,4.1522
1980-02-15,4.1604,4.1604,4.1604,4.1604
1980-02-19,4.1749,4.1749,4.1749,4.1749
1980-02-20,4.17,4.17,4.17,4.17
1980-02-21,4.1671,4.1671,4.1671,4.1671
1980-02-22,4.1964,4.1964,4.1964,4.1964
1980-02-25,4.2017,4.2017,4.2017,4.2017
1980-02-26,4.1988,4.1988,4.1988,4.1988
1980-02-27,4.1939,4.1939,4.1939,4.1939
1980-02-28,4.1958,4.1958,4.1958,4.1958
1980-02-29,4.2134,4.2134,4.2134,4.2134
1980-03-03,4.2405,4.2405,4.2405,4.2405
1980-03-04,4.2541,4.2541,4.2541,4.2541
1980-03-05,4.2565,4.2565,4.2565,4.2565
1980-03-06,4.2671,4.2671,4.2671,4.2671
1980-03-07,4.2829,4.2829,4.2829,4.2829
1980-03-10,4.2942,4.2942,4.2942,4.2942
1980-03-11,4.287,4.287,4.287,4.287
1980-03-12,4.2839,4.2839,4.2839,4.2839
1980-03-13,4.3036,4.3036,4.3036,4.3036
1980-03-14,4.3135,4.3135,4.3135,4.3135
1980-03-17,4.3952,4.3952,4.3952,4.3952
1980-03-18,4.3894,4.3894,4.3894,4.3894
1980-03-19,4.379,4.379,4.379,4.379
1980-03-20,4.374,4.374,4.374,4.374
1980-03-21,4.3885,4.3885,4.3885,4.3885
1980-03-24,4.402,4.402,4.402,4.402
1980-03-25,4.4049,4.4049,4.4049,4.4049
1980-03-26,4.3964,4.3964,4.3964,4.3964
1980-03-27,4.4532,4.4532,4.4532,4.4532
1980-03-28,4.4505,4.4505,4.4505,4.4505
1980-03-31,4.4799,4.4799,4.4799,4.4799
1980-04-01,4.5014,4.5014,4.5014,4.5014
1980-04-02,4.4995,4.4995,4.4995,4.4995
1980-04-03,4.5097,4.5097,4.5097,4.5097
1980-04-04,4.5194,4.5194,4.5194,4.5194
1980-04-07,4.5509,4.5509,4.5509,4.5509
1980-04-08,4.4652,4.4652,4.4652,4.4652
1980-04-09,4.3848,4.3848,4.3848,4.3848
1980-04-10,4.3822,4.3822,4.3822,4.3822
1980-04-11,4.3878,4.3878,4.3878,4.3878
1980-04-14,4.3751,4.3751,4.3751,4.3751
1980-04-15,4.4057,4.4057,4.4057,4.4057
1980-04-16,4.3561,4.3561,4.3561,4.3561
1980-04-17,4.3499,4.3499,4.3499,4.3499
1980-04-18,4.3473,4.3473,4.3473,4.3473
1980-04-21,4.3386,4.3386,4.3386,4.3386
1980-04-22,4.3571,4.3571,4.3571,4.3571
1980-04-23,4.298,4.298,4.298,4.298
1980-04-24,4.2785,4.2785,4.2785,4.2785
1980-04-25,4.2679,4.2679,4.2679,4.2679
1980-04-28,4.2503,4.2503,4.2503,4.2503
1980-04-29,4.2108,4.2108,4.2108,4.2108
1980-04-30,4.2058,4.2058,4.2058,4.2058
1980-05-01,4.2108,4.2108,4.2108,4.2108
1980-05-02,4.2721,4.2721,4.2721,4.2721
1980-05-05,4.2247,4.2247,4.2247,4.2247
1980-05-06,4.2157,4.2157,4.2157,4.2157
1980-05-07,4.2155,4.2155,4.2155,4.2155
1980-05-08,4.2207,4.2207,4.2207,4.2207
1980-05-09,4.2425,4.2425,4.2425,4.2425
1980-05-12,4.2315,4.2315,4.2315,4.2315
1980-05-13,4.221,4.221,4.221,4.221
1980-05-14,4.2181,4.2181,4.2181,4.2181
1980-05-15,4.2152,4.2152,4.2152,4.2152
1980-05-16,4.2283,4.2283,4.2283,4.2283
1980-05-19,4.2318,4.2318,4.2318,4.2318
1980-05-20,4.2386,4.2386,4.2386,4.2386
1980-05-21,4.2092,4.2092,4.2092,4.2092
1980-05-22,4.2025,4.2025,4.2025,4.2025
1980-05-23,4.1763,4.1763,4.1763,4.1763
1980-05-27,4.1604,4.1604,4.1604,4.1604
1980-05-28,4.1744,4.1744,4.1744,4.1744
1980-05-29,4.186,4.186,4.186,4.186
1980-05-30,4.1947,4.1947,4.1947,4.1947
1980-06-02,4.1947,4.1947,4.1947,4.1947
1980-06-03,4.1928,4.1928,4.1928,4.1928
1980-06-04,4.1816,4.1816,4.1816,4.1816
1980-06-05,4.1768,4.1768,4.1768,4.1768
1980-06-06,4.1739,4.1739,4.1739,4.1739
1980-06-09,4.1662,4.1662,4.1662,4.1662
1980-06-10,4.1647,4.1647,4.1647,4.1647
1980-06-11,4.1638,4.1638,4.1638,4.1638
1980-06-12,4.1657,4.1657,4.1657,4.1657
1980-06-13,4.1375,4.1375,4.1375,4.1375
1980-06-16,4.1566,4.1566,4.1566,4.1566
1980-06-17,4.1705,4.1705,4.1705,4.1705
1980-06-18,4.1633,4.1633,4.1633,4.1633
1980-06-19,4.1686,4.1686,4.1686,4.1686
1980-06-20,4.1614,4.1614,4.1614,4.1614
1980-06-23,4.1619,4.1619,4.1619,4.1619
1980-06-24,4.1719,4.1719,4.1719,4.1719
1980-06-25,4.1739,4.1739,4.1739,4.1739
1980-06-26,4.1585,4.1585,4.1585,4.1585
1980-06-27,4.1489,4.1489,4.1489,4.1489
1980-06-30,4.1556,4.1556,4.1556,4.1556
1980-07-01,4.1523,4.1523,4.1523,4.1523
1980-07-02,4.1409,4.1409,4.1409,4.1409
1980-07-03,4.1519,4.1519,4.1519,4.1519
1980-07-07,4.1238,4.1238,4.1238,4.1238
1980-07-08,4.1185,4.1185,4.1185,4.1185
1980-07-09,4.1232,4.1232,4.1232,4.1232
1980-07-10,4.1156,4.1156,4.1156,4.1156
1980-07-11,4.1173,4.1173,4.1173,4.1173
1980-07-14,4.1192,4.1192,4.1192,4.1192
1980-07-15,4.1282,4.1282,4.1282,4.1282
1980-07-16,4.123,4.123,4.123,4.123
1980-07-17,4.1039,4.1039,4.1039,4.1039
1980-07-18,4.1197,4.1197,4.1197,4.1197
1980-07-21,4.1172,4.1172,4.1172,4.1172
1980-07-22,4.1052,4.1052,4.1052,4.1052
1980-07-23,4.1205,4.1205,4.1205,4.1205
1980-07-24,4.1037,4.1037,4.1037,4.1037
1980-07-25,4.1069,4.1069,4.1069,4.1069
1980-07-28,4.1192,4.1192,4.1192,4.1192
1980-07-29,4.1322,4.1322,4.1322,4.1322
1980-07-30,4.154,4.154,4.154,4.154
1980-07-31,4.171,4.171,4.171,4.171
1980-08-01,4.1821,4.1821,4.1821,4.1821
1980-08-04,4.1802,4.1802,4.1802,4.1802
1980-08-05,4.1551,4.1551,4.1551,4.1551
1980-08-06,4.1512,4.1512,4.1512,4.1512
1980-08-07,4.17,4.17,4.17,4.17
1980-08-08,4.1768,4.1768,4.1768,4.1768
1980-08-11,4.1754,4.1754,4.1754,4.1754
1980-08-12,4.1555,4.1555,4.1555,4.1555
1980-08-13,4.1633,4.1633,4.1633,4.1633
1980-08-14,4.1725,4.1725,4.1725,4.1725
1980-08-15,4.1744,4.1744,4.1744,4.1744
1980-08-18,4.1793,4.1793,4.1793,4.1793
1980-08-19,4.1924,4.1924,4.1924,4.1924
1980-08-20,4.1802,4.1802,4.1802,4.1802
1980-08-21,4.1778,4.1778,4.1778,4.1778
1980-08-22,4.1981,4.1981,4.1981,4.1981
1980-08-25,4.1942,4.1942,4.1942,4.1942
1980-08-26,4.1836,4.1836,4.1836,4.1836
