Date,uk10_yield
26-Jul-13,2.4526
29-Jul-13,2.4499
30-Jul-13,2.4363
31-Jul-13,2.4734
1-Aug-13,2.517
2-Aug-13,2.5449
5-Aug-13,2.5853
6-Aug-13,2.6016
7-Aug-13,2.5925
8-Aug-13,2.6078
9-Aug-13,2.5984
12-Aug-13,2.5959
13-Aug-13,2.7272
14-Aug-13,2.7496
15-Aug-13,2.8016
16-Aug-13,2.8197
19-Aug-13,2.8617
20-Aug-13,2.8045
21-Aug-13,2.839
22-Aug-13,2.8372
23-Aug-13,2.8253
27-Aug-13,2.7328
28-Aug-13,2.762
29-Aug-13,2.738
30-Aug-13,2.7429
2-Sep-13,2.7966
3-Sep-13,2.8325
4-Sep-13,2.8202
5-Sep-13,2.9464
6-Sep-13,2.8782
9-Sep-13,2.8924
10-Sep-13,2.9667
11-Sep-13,2.9533
12-Sep-13,2.894
13-Sep-13,2.872
16-Sep-13,2.8369
17-Sep-13,2.898
18-Sep-13,2.9576
19-Sep-13,2.8599
20-Sep-13,2.8889
23-Sep-13,2.8606
24-Sep-13,2.7798
25-Sep-13,2.7228
26-Sep-13,2.7161
27-Sep-13,2.6794
30-Sep-13,2.6788
1-Oct-13,2.6736
2-Oct-13,2.6685
3-Oct-13,2.6621
4-Oct-13,2.7056
7-Oct-13,2.6789
8-Oct-13,2.6821
9-Oct-13,2.6658
10-Oct-13,2.7202
11-Oct-13,2.7118
14-Oct-13,2.734
15-Oct-13,2.7756
16-Oct-13,2.8187
17-Oct-13,2.7387
18-Oct-13,2.712
21-Oct-13,2.7327
22-Oct-13,2.6385
23-Oct-13,2.6073
24-Oct-13,2.6404
25-Oct-13,2.6245
28-Oct-13,2.6274
29-Oct-13,2.6114
30-Oct-13,2.5453
31-Oct-13,2.6283
1-Nov-13,2.6601
4-Nov-13,2.6495
5-Nov-13,2.7293
6-Nov-13,2.7306
7-Nov-13,2.6931
8-Nov-13,2.7775
11-Nov-13,2.8095
12-Nov-13,2.8055
13-Nov-13,2.8057
14-Nov-13,2.774
15-Nov-13,2.7508
18-Nov-13,2.7345
19-Nov-13,2.7378
20-Nov-13,2.7489
21-Nov-13,2.8456
22-Nov-13,2.8178
25-Nov-13,2.7822
26-Nov-13,2.7587
27-Nov-13,2.7806
28-Nov-13,2.7702
29-Nov-13,2.7939
2-Dec-13,2.8689
3-Dec-13,2.8429
4-Dec-13,2.9071
5-Dec-13,2.9221
6-Dec-13,2.9116
9-Dec-13,2.9326
10-Dec-13,2.9021
11-Dec-13,2.8957
12-Dec-13,2.9249
13-Dec-13,2.9206
16-Dec-13,2.9036
17-Dec-13,2.9014
18-Dec-13,2.9384
19-Dec-13,2.9818
20-Dec-13,2.9655
23-Dec-13,2.9906
24-Dec-13,3.007
27-Dec-13,3.1049
30-Dec-13,3.0476
31-Dec-13,3.0466
2-Jan-14,3.0557
3-Jan-14,3.0541
6-Jan-14,3.0049
7-Jan-14,2.9873
8-Jan-14,3.0196
9-Jan-14,3.0149
10-Jan-14,2.9304
13-Jan-14,2.8824
14-Jan-14,2.8808
15-Jan-14,2.913
16-Jan-14,2.8661
17-Jan-14,2.8869
20-Jan-14,2.8781
21-Jan-14,2.8867
22-Jan-14,2.9206
23-Jan-14,2.8647
24-Jan-14,2.829
27-Jan-14,2.8436
28-Jan-14,2.8746
29-Jan-14,2.8273
30-Jan-14,2.8146
31-Jan-14,2.7847
3-Feb-14,2.778
4-Feb-14,2.7601
5-Feb-14,2.7464
6-Feb-14,2.8155
7-Feb-14,2.7842
10-Feb-14,2.8001
11-Feb-14,2.8027
12-Feb-14,2.8809
13-Feb-14,2.8506
14-Feb-14,2.8641
17-Feb-14,2.8423
18-Feb-14,2.8167
19-Feb-14,2.8093
20-Feb-14,2.8705
21-Feb-14,2.8463
24-Feb-14,2.8257
25-Feb-14,2.8245
26-Feb-14,2.8113
27-Feb-14,2.7553
28-Feb-14,2.8093
3-Mar-14,2.7527
4-Mar-14,2.7686
5-Mar-14,2.7891
6-Mar-14,2.8331
7-Mar-14,2.8476
10-Mar-14,2.8556
11-Mar-14,2.8464
12-Mar-14,2.8209
13-Mar-14,2.7743
14-Mar-14,2.7236
17-Mar-14,2.7692
18-Mar-14,2.7453
19-Mar-14,2.7659
20-Mar-14,2.8358
21-Mar-14,2.7852
24-Mar-14,2.7415
25-Mar-14,2.7565
26-Mar-14,2.7474
27-Mar-14,2.7398
28-Mar-14,2.7682
31-Mar-14,2.7899
1-Apr-14,2.7993
2-Apr-14,2.8137
3-Apr-14,2.794
4-Apr-14,2.7703
7-Apr-14,2.7261
8-Apr-14,2.7337
9-Apr-14,2.7873
10-Apr-14,2.7017
11-Apr-14,2.6815
14-Apr-14,2.7298
15-Apr-14,2.6837
16-Apr-14,2.6848
17-Apr-14,2.7103
22-Apr-14,2.773
23-Apr-14,2.7444
24-Apr-14,2.7428
25-Apr-14,2.72
28-Apr-14,2.723
29-Apr-14,2.7491
30-Apr-14,2.7658
1-May-14,2.7334
2-May-14,2.6985
6-May-14,2.7368
7-May-14,2.7465
8-May-14,2.7297
9-May-14,2.7654
12-May-14,2.8274
13-May-14,2.7438
14-May-14,2.6682
15-May-14,2.6014
16-May-14,2.6357
19-May-14,2.6585
20-May-14,2.6981
21-May-14,2.7121
22-May-14,2.7202
23-May-14,2.7044
27-May-14,2.7077
28-May-14,2.6293
29-May-14,2.6112
30-May-14,2.6507
