Date,AusEERI,UKEERI,CadEERI,EuroEERI,JapEERI,SwisEERI,SwedEERI,USEERI
8-Nov-90,93.5908,100.1047,98.3249,101.0229,107.3368,102.8414,98.8553,93.4793
9-Nov-90,93.6322,100.0684,98.2505,101.1367,107.3093,102.8616,98.7853,93.3662
12-Nov-90,93.0858,99.5539,98.4295,101.546,107.9569,102.5517,98.7337,92.8826
13-Nov-90,93.1582,99.6447,98.3946,101.7063,107.5298,102.4462,98.7334,92.9773
14-Nov-90,92.4786,99.2709,98.5391,101.9757,107.216,102.5723,98.7598,92.9263
15-Nov-90,92.6106,99.3385,98.6844,101.7191,107.5537,102.2861,98.7459,93.0174
16-Nov-90,92.2443,99.3799,98.6247,101.953,107.2688,102.5662,98.6917,92.8379
19-Nov-90,91.1556,99.7078,98.6249,101.833,107.862,102.5911,98.8086,92.5703
20-Nov-90,91.8301,99.8264,98.8176,101.5136,107.8603,102.6163,98.7578,92.754
21-Nov-90,90.9626,99.7762,98.9072,101.3455,109.0987,102.5653,98.8196,92.4122
22-Nov-90,91.8133,99.7307,98.783,101.1451,109.2785,102.3624,98.7728,92.4822
23-Nov-90,91.553,99.9025,98.9526,100.9781,109.3803,102.0565,98.7183,92.6081
26-Nov-90,91.9103,100.1481,98.8955,100.9196,108.2519,101.6659,98.8964,93.1443
27-Nov-90,91.9899,100.1366,98.5943,101.3013,108.237,101.8579,98.7784,92.8188
28-Nov-90,92.3421,100.3564,98.4357,101.3766,107.3223,101.3986,98.7613,93.2262
29-Nov-90,93.2995,99.9552,98.7681,101.4333,106.2571,101.6924,98.8612,93.5909
30-Nov-90,94.2531,99.4974,98.893,101.3667,104.7684,101.6152,98.8927,94.6045
3-Dec-90,94.6104,99.1299,98.9022,101.4801,104.3455,101.2836,98.7587,94.9419
4-Dec-90,94.6791,99.05,98.9627,101.5719,104.6187,101.4099,98.9354,94.7056
5-Dec-90,93.9172,98.9516,99.1154,101.6244,104.1299,101.5714,98.8501,94.8342
6-Dec-90,93.3605,99.1565,99.0471,101.6486,105.5763,101.7544,98.814,94.1025
7-Dec-90,93.4175,99.2331,99.0596,101.9356,106.1476,101.8596,98.7017,93.5252
10-Dec-90,92.5046,98.743,99.3334,102.4644,105.5666,101.9152,98.7154,93.3134
11-Dec-90,92.7158,98.7411,99.219,102.2486,105.816,101.9054,98.7426,93.5246
12-Dec-90,92.7079,98.9228,99.0804,102.2308,105.6911,101.725,98.7344,93.6291
13-Dec-90,92.0974,99.0589,99.1757,102.1012,105.6279,101.7602,98.7699,93.686
14-Dec-90,93.0978,99.0616,99.1266,102.076,105.156,101.4437,98.8833,93.9763
17-Dec-90,93.2888,98.5588,99.4247,102.0656,104.9841,101.4634,98.8032,94.15
18-Dec-90,93.8855,98.8497,99.5037,102.0713,104.8722,101.6762,98.8315,94.0734
19-Dec-90,94.0494,98.5169,99.3954,102.5433,104.039,101.5228,98.7734,94.1901
20-Dec-90,94.7575,98.196,99.4158,102.0321,104.1141,101.4553,98.7717,94.7221
21-Dec-90,95.4935,98.2431,99.6009,101.2324,103.903,100.9405,98.9894,95.812
24-Dec-90,95.9763,97.9754,99.6819,100.7909,104.1401,101.3702,98.9297,96.1151
27-Dec-90,95.0977,98.496,99.5674,101.0114,103.3922,101.4516,98.9526,96.0671
28-Dec-90,94.7637,98.744,99.387,101.8204,103.5138,101.6755,98.9358,95.106
31-Dec-90,94.6574,99.092,99.39,101.8391,103.1064,101.9423,98.967,94.9654
2-Jan-91,94.6341,99.4232,99.5385,101.7595,103.6179,102.5089,98.9415,94.5588
3-Jan-91,94.6596,99.5876,99.8095,101.4616,104.9006,102.1916,98.8634,94.0517
4-Jan-91,95.36,99.5672,100.147,101.1989,104.0085,102.2943,99.0208,94.6175
7-Jan-91,96.0136,99.3236,100.2711,100.5919,103.1646,102.726,99.06,95.7826
8-Jan-91,96.2041,99.2882,100.3952,100.4857,103.4089,102.7333,99.0822,95.7105
9-Jan-91,94.952,99.4315,99.8804,100.7504,104.5142,102.736,98.9748,94.9787
10-Jan-91,95.2331,99.1756,100.238,100.3238,104.6136,102.8375,99.0808,95.3576
11-Jan-91,94.9683,99.1752,100.0388,100.188,105.1443,103.3586,99.1534,95.2318
14-Jan-91,95.904,99.5326,100.5666,99.6657,104.6099,103.6789,99.0904,95.5861
15-Jan-91,96.1258,99.613,100.6323,99.7847,104.2178,103.431,99.0281,95.6831
16-Jan-91,96.4232,99.6788,100.7302,99.81,103.4794,103.3367,99.2121,95.9606
17-Jan-91,95.6022,99.2012,99.9103,100.6819,105.1464,102.6205,99.1252,94.8095
18-Jan-91,95.1024,99.6454,99.3669,100.8946,105.3483,103.0107,99.0472,94.4661
21-Jan-91,94.6784,99.764,99.3074,101.1683,105.6058,103.4783,98.9641,93.8721
22-Jan-91,95.0213,99.6429,99.1193,101.0882,105.9564,103.041,99.2001,94.0056
23-Jan-91,95.1218,99.7112,99.2621,101.285,105.5008,102.9997,99.1315,93.9842
24-Jan-91,94.124,99.8723,99.2283,101.6628,105.53,102.7019,99.1432,93.5073
25-Jan-91,94.1513,99.9329,98.6793,101.4295,105.5645,102.5656,99.1881,93.9014
28-Jan-91,94.7817,100.2086,98.9493,101.4714,105.4215,102.1165,99.1435,93.8035
29-Jan-91,94.6439,100.2849,99.1095,101.4381,105.969,102.2948,99.1586,93.4491
30-Jan-91,95.2269,100.0381,99.2611,101.2305,105.7562,101.9809,99.3708,93.9725
31-Jan-91,94.7141,99.7942,98.745,101.7878,105.6687,101.9422,99.2743,93.6967
1-Feb-91,94.1346,99.8599,98.9338,102.2254,105.512,101.9312,99.1906,93.1474
4-Feb-91,93.9805,99.8031,99.0511,102.3104,105.8497,101.8113,99.2983,92.954
5-Feb-91,93.0548,99.9068,98.8593,102.3115,106.6367,101.7633,99.2625,92.6315
6-Feb-91,92.7521,100.0812,98.917,102.3395,107.5946,102.084,99.1001,92.0082
7-Feb-91,92.9351,99.924,98.7468,102.3588,108.0181,102.1892,99.008,91.8884
8-Feb-91,92.9696,99.7342,98.8323,102.2648,108.0548,101.8268,99.1026,92.1081
11-Feb-91,92.7189,99.7793,98.944,102.4569,108.0679,101.7229,99.1005,91.8447
12-Feb-91,93.0182,99.8234,99.1999,102.4394,107.8983,101.5889,99.0743,91.891
13-Feb-91,94.0185,99.9565,99.3321,102.3944,107.0748,101.3836,99.0359,92.1564
14-Feb-91,94.1666,99.8948,99.3269,102.1877,107.1251,101.5241,99.1584,92.41
15-Feb-91,94.7538,99.8593,99.4447,101.8563,106.7105,101.1951,99.2555,92.95
18-Feb-91,95.0028,99.6529,99.6812,101.6818,106.8035,101.0574,99.2496,93.1456
19-Feb-91,95.2832,99.6538,99.6171,101.6792,106.2721,100.9576,99.2342,93.4538
20-Feb-91,95.4255,99.5933,99.7553,101.4162,106.0861,101.2102,99.3218,93.7458
21-Feb-91,95.2316,99.8321,99.7946,101.5053,106.2928,101.3857,99.2941,93.429
22-Feb-91,95.0318,99.7738,99.9742,101.3942,106.0047,100.8881,99.3508,93.7108
25-Feb-91,95.7952,99.5455,100.1158,100.7477,105.457,100.9005,99.3875,94.7054
26-Feb-91,96.024,99.2801,100.159,100.7885,105.4724,100.5202,99.4037,94.8703
