Date,EURIBOR,SONIA
30-Nov-00,5.051,6.3055
1-Dec-00,5.021,6.2636
4-Dec-00,5.012,5.6824
5-Dec-00,5.006,5.6708
6-Dec-00,4.972,5.5586
7-Dec-00,4.964,6.0361
8-Dec-00,4.956,5.9843
11-Dec-00,4.967,5.9161
12-Dec-00,4.967,5.8617
13-Dec-00,4.966,5.7543
14-Dec-00,4.953,6.2721
15-Dec-00,4.949,5.8487
18-Dec-00,4.933,5.7204
19-Dec-00,4.916,5.7041
20-Dec-00,4.905,5.5177
21-Dec-00,4.892,5.0308
22-Dec-00,4.88,5.7761
27-Dec-00,4.859,6.3947
28-Dec-00,4.859,5.6771
29-Dec-00,4.855,4.3589
2-Jan-01,4.844,5.7733
3-Jan-01,4.806,6.0869
4-Jan-01,4.741,5.526
5-Jan-01,4.701,5.326
8-Jan-01,4.687,5.3786
9-Jan-01,4.711,5.2348
10-Jan-01,4.775,5.7468
11-Jan-01,4.8,6.3986
12-Jan-01,4.8,6.0413
15-Jan-01,4.815,6.1991
16-Jan-01,4.795,6.0572
17-Jan-01,4.795,6.0842
18-Jan-01,4.778,6.4398
19-Jan-01,4.763,6.4387
22-Jan-01,4.757,6.7105
23-Jan-01,4.756,5.4619
24-Jan-01,4.767,5.8631
25-Jan-01,4.784,6.3756
26-Jan-01,4.784,5.4442
29-Jan-01,4.785,5.7227
30-Jan-01,4.781,5.6353
31-Jan-01,4.744,6.3133
1-Feb-01,4.714,6.7888
2-Feb-01,4.724,5.8022
5-Feb-01,4.728,6.8072
6-Feb-01,4.725,6.8966
7-Feb-01,4.727,6.934
8-Feb-01,4.731,6.5733
9-Feb-01,4.734,6.0045
12-Feb-01,4.734,5.5506
13-Feb-01,4.733,5.4937
14-Feb-01,4.743,5.621
15-Feb-01,4.747,5.6226
16-Feb-01,4.752,5.9788
19-Feb-01,4.759,5.4119
20-Feb-01,4.779,5.4755
21-Feb-01,4.789,5.073
22-Feb-01,4.798,5.0323
23-Feb-01,4.807,5.1643
26-Feb-01,4.811,5.0774
27-Feb-01,4.81,5.2665
28-Feb-01,4.771,6.3192
1-Mar-01,4.756,5.8305
2-Mar-01,4.761,5.0332
5-Mar-01,4.761,5.2708
6-Mar-01,4.771,4.8981
7-Mar-01,4.776,4.8493
8-Mar-01,4.778,4.8229
9-Mar-01,4.782,4.6541
12-Mar-01,4.784,4.4938
13-Mar-01,4.783,4.7046
14-Mar-01,4.784,4.6988
15-Mar-01,4.767,4.756
16-Mar-01,4.769,5.4304
19-Mar-01,4.769,6.1067
20-Mar-01,4.766,6.5143
21-Mar-01,4.753,5.7369
22-Mar-01,4.649,5.9064
23-Mar-01,4.574,5.3509
26-Mar-01,4.566,6.3067
27-Mar-01,4.56,5.919
28-Mar-01,4.566,5.3937
29-Mar-01,4.554,6.107
30-Mar-01,4.561,6.053
2-Apr-01,4.571,6.3844
3-Apr-01,4.586,6.6008
4-Apr-01,4.572,6.7194
5-Apr-01,4.573,6.2586
6-Apr-01,4.574,5.0762
9-Apr-01,4.559,6.2392
10-Apr-01,4.554,5.8223
11-Apr-01,4.583,4.5148
12-Apr-01,4.742,4.0512
17-Apr-01,4.765,4.9318
18-Apr-01,4.779,4.7217
19-Apr-01,4.677,4.6429
20-Apr-01,4.765,4.7916
23-Apr-01,4.754,5.0164
24-Apr-01,4.773,5.0882
25-Apr-01,4.78,4.9248
26-Apr-01,4.779,4.9026
27-Apr-01,4.77,5.1338
30-Apr-01,4.802,5.1817
1-May-01,4.802,5.5336
2-May-01,4.817,5.4588
3-May-01,4.82,5.5822
4-May-01,4.804,6.0918
8-May-01,4.801,6.524
9-May-01,4.793,6.5986
10-May-01,4.766,6.1277
11-May-01,4.563,5.6529
14-May-01,4.572,5.853
15-May-01,4.572,6.0406
16-May-01,4.567,5.6023
17-May-01,4.564,5.0336
18-May-01,4.557,5.0359
21-May-01,4.557,5.1209
22-May-01,4.555,4.8882
23-May-01,4.563,4.9134
24-May-01,4.559,4.9031
25-May-01,4.564,4.6485
29-May-01,4.56,4.9378
30-May-01,4.544,5.4731
31-May-01,4.531,5.9056
1-Jun-01,4.513,5.1583
4-Jun-01,4.496,5.2654
5-Jun-01,4.486,4.9884
6-Jun-01,4.449,4.9322
7-Jun-01,4.433,4.8373
8-Jun-01,4.451,4.8433
11-Jun-01,4.451,4.9054
12-Jun-01,4.449,5.3504
13-Jun-01,4.47,5.4448
14-Jun-01,4.474,5.7992
15-Jun-01,4.465,4.4995
18-Jun-01,4.464,4.4593
19-Jun-01,4.462,4.4211
20-Jun-01,4.452,4.3698
21-Jun-01,4.433,4.2938
22-Jun-01,4.433,4.2612
25-Jun-01,4.432,4.3925
26-Jun-01,4.426,4.3471
27-Jun-01,4.435,4.5431
28-Jun-01,4.41,4.5517
29-Jun-01,4.441,4.7082
2-Jul-01,4.44,5.3075
3-Jul-01,4.42,5.566
4-Jul-01,4.45,5.6445
5-Jul-01,4.45,5.6853
6-Jul-01,4.47,5.2406
9-Jul-01,4.48,5.4184
10-Jul-01,4.5,5.5074
11-Jul-01,4.49,6.0833
12-Jul-01,4.49,5.5152
13-Jul-01,4.48,4.541
16-Jul-01,4.49,5.8112
17-Jul-01,4.48,4.9927
18-Jul-01,4.48,4.4827
19-Jul-01,4.47,4.4088
20-Jul-01,4.47,4.4776
23-Jul-01,4.47,5.0579
24-Jul-01,4.47,4.8776
25-Jul-01,4.47,5.5041
26-Jul-01,4.46,5.5612
27-Jul-01,4.46,5.1837
30-Jul-01,4.46,5.7157
31-Jul-01,4.44,5.8914
1-Aug-01,4.43,5.8366
2-Aug-01,4.42,5.8225
3-Aug-01,4.43,5.7038
6-Aug-01,4.43,5.8986
7-Aug-01,4.43,4.7094
8-Aug-01,4.43,4.2952
9-Aug-01,4.41,4.2759
10-Aug-01,4.38,4.2472
13-Aug-01,4.36,4.2199
14-Aug-01,4.36,4.2152
15-Aug-01,4.36,4.2088
16-Aug-01,4.35,4.2287
17-Aug-01,4.35,4.2744
20-Aug-01,4.33,4.6103
21-Aug-01,4.33,4.296
22-Aug-01,4.31,4.2917
23-Aug-01,4.31,5.7749
24-Aug-01,4.32,5.6075
28-Aug-01,4.31,5.0229
29-Aug-01,4.27,5.3996
30-Aug-01,4.28,4.5097
31-Aug-01,4.25,4.253
3-Sep-01,4.25,4.2272
4-Sep-01,4.26,4.195
5-Sep-01,4.28,4.1757
6-Sep-01,4.28,4.1517
7-Sep-01,4.26,4.1514
10-Sep-01,4.24,4.2007
11-Sep-01,4.24,5.3449
12-Sep-01,4.18,5.6178
13-Sep-01,4.17,5.3477
14-Sep-01,4.16,5.0529
17-Sep-01,4.14,5.4185
18-Sep-01,3.78,5.2313
19-Sep-01,3.76,5.2257
20-Sep-01,3.7,4.7377
21-Sep-01,3.69,4.6743
24-Sep-01,3.66,5.1669
25-Sep-01,3.65,4.905
26-Sep-01,3.65,4.8313
27-Sep-01,3.67,5.2284
28-Sep-01,3.66,5.1683
1-Oct-01,3.656,5.592
2-Oct-01,3.651,5.6445
3-Oct-01,3.622,5.714
4-Oct-01,4.598,5.2735
5-Oct-01,3.558,5.2079
8-Oct-01,3.557,5.1241
9-Oct-01,3.582,4.4425
10-Oct-01,4.624,4.4661
11-Oct-01,3.614,4.6633
12-Oct-01,3.656,4.7627
15-Oct-01,3.636,4.9315
16-Oct-01,3.626,4.4424
17-Oct-01,3.645,3.8468
18-Oct-01,3.633,3.7583
19-Oct-01,3.607,4.1135
22-Oct-01,3.58,4.2741
23-Oct-01,3.579,4.8113
24-Oct-01,3.575,4.289
25-Oct-01,3.563,3.9413
26-Oct-01,3.579,4.0232
29-Oct-01,3.576,4.4422
30-Oct-01,3.558,4.1483
31-Oct-01,3.522,3.8263
1-Nov-01,3.512,3.7886
2-Nov-01,3.499,3.8964
5-Nov-01,3.491,3.9327
6-Nov-01,3.467,3.6927
7-Nov-01,3.371,3.7164
8-Nov-01,3.324,3.4725
9-Nov-01,3.342,3.3108
12-Nov-01,3.35,3.519
13-Nov-01,3.351,3.4853
14-Nov-01,3.338,3.3422
15-Nov-01,3.359,3.3498
16-Nov-01,3.383,4.2019
19-Nov-01,3.349,4.4105
20-Nov-01,3.349,3.7482
21-Nov-01,3.363,3.3236
22-Nov-01,3.38,3.2617
23-Nov-01,3.375,3.2477
26-Nov-01,3.369,3.24
27-Nov-01,3.377,3.2452
28-Nov-01,3.376,3.2535
29-Nov-01,3.376,3.425
30-Nov-01,3.36,3.8098
3-Dec-01,3.346,4.5598
4-Dec-01,3.348,4.4775
5-Dec-01,3.348,4.402
6-Dec-01,3.364,4.622
7-Dec-01,3.37,3.9381
10-Dec-01,3.36,3.8256
11-Dec-01,3.351,3.8211
12-Dec-01,3.351,4.0402
13-Dec-01,3.342,4.5631
14-Dec-01,3.346,4.3541
17-Dec-01,3.349,4.6301
18-Dec-01,3.35,4.8693
19-Dec-01,3.348,5.0538
20-Dec-01,3.343,5.116
21-Dec-01,3.34,5.1081
24-Dec-01,3.34,5.0272
27-Dec-01,3.294,4.9554
28-Dec-01,3.294,4.7891
31-Dec-01,3.294,4.9451
2-Jan-02,3.279,3.8886
3-Jan-02,3.272,3.4382
4-Jan-02,3.292,3.3647
7-Jan-02,3.312,3.7123
8-Jan-02,3.311,3.8936
9-Jan-02,3.325,3.9219
10-Jan-02,3.338,3.5444
11-Jan-02,3.345,3.3093
14-Jan-02,3.331,3.6768
15-Jan-02,3.329,4.0997
16-Jan-02,3.335,3.8075
17-Jan-02,3.344,4.4086
18-Jan-02,3.345,4.0987
