Date,uk_ftse
13-Jul-12,"5,666.13"
12-Jul-12,"5,608.25"
11-Jul-12,"5,664.48"
10-Jul-12,"5,664.07"
9-Jul-12,"5,627.33"
6-Jul-12,"5,662.63"
5-Jul-12,"5,692.63"
4-Jul-12,"5,684.47"
3-Jul-12,"5,687.73"
2-Jul-12,"5,640.64"
29-Jun-12,"5,571.15"
28-Jun-12,"5,493.06"
27-Jun-12,"5,523.92"
26-Jun-12,"5,446.96"
25-Jun-12,"5,450.65"
22-Jun-12,"5,513.69"
21-Jun-12,"5,566.36"
20-Jun-12,"5,622.29"
19-Jun-12,"5,586.31"
18-Jun-12,"5,491.09"
15-Jun-12,"5,478.81"
14-Jun-12,"5,467.05"
13-Jun-12,"5,483.81"
12-Jun-12,"5,473.74"
11-Jun-12,"5,432.37"
8-Jun-12,"5,435.08"
7-Jun-12,"5,447.79"
6-Jun-12,"5,384.11"
1-Jun-12,"5,260.19"
31-May-12,"5,320.86"
30-May-12,"5,297.28"
29-May-12,"5,391.14"
28-May-12,"5,356.34"
25-May-12,"5,351.53"
24-May-12,"5,350.05"
23-May-12,"5,266.41"
22-May-12,"5,403.28"
21-May-12,"5,304.48"
18-May-12,"5,267.62"
17-May-12,"5,338.38"
16-May-12,"5,405.25"
15-May-12,"5,437.62"
14-May-12,"5,465.52"
11-May-12,"5,575.52"
10-May-12,"5,543.95"
9-May-12,"5,530.05"
8-May-12,"5,554.55"
4-May-12,"5,655.06"
3-May-12,"5,766.55"
2-May-12,"5,758.11"
1-May-12,"5,812.23"
30-Apr-12,"5,737.78"
27-Apr-12,"5,777.11"
26-Apr-12,"5,748.72"
25-Apr-12,"5,718.89"
24-Apr-12,"5,709.49"
23-Apr-12,"5,665.57"
20-Apr-12,"5,772.15"
19-Apr-12,"5,744.55"
18-Apr-12,"5,745.29"
17-Apr-12,"5,766.95"
16-Apr-12,"5,666.28"
13-Apr-12,"5,651.79"
12-Apr-12,"5,710.46"
11-Apr-12,"5,634.74"
10-Apr-12,"5,595.55"
5-Apr-12,"5,723.67"
4-Apr-12,"5,703.77"
3-Apr-12,"5,838.34"
2-Apr-12,"5,874.89"
30-Mar-12,"5,768.45"
29-Mar-12,"5,742.03"
28-Mar-12,"5,808.99"
27-Mar-12,"5,869.55"
26-Mar-12,"5,902.70"
23-Mar-12,"5,854.89"
22-Mar-12,"5,845.65"
21-Mar-12,"5,891.95"
20-Mar-12,"5,891.41"
19-Mar-12,"5,961.11"
16-Mar-12,"5,965.58"
15-Mar-12,"5,940.72"
14-Mar-12,"5,945.43"
13-Mar-12,"5,955.91"
12-Mar-12,"5,892.75"
9-Mar-12,"5,887.49"
8-Mar-12,"5,859.73"
7-Mar-12,"5,791.41"
6-Mar-12,"5,765.80"
5-Mar-12,"5,874.82"
2-Mar-12,"5,911.13"
1-Mar-12,"5,931.25"
29-Feb-12,"5,871.51"
28-Feb-12,"5,927.91"
27-Feb-12,"5,915.55"
24-Feb-12,"5,935.13"
23-Feb-12,"5,937.89"
22-Feb-12,"5,916.55"
21-Feb-12,"5,928.20"
20-Feb-12,"5,945.25"
17-Feb-12,"5,905.07"
16-Feb-12,"5,885.38"
15-Feb-12,"5,892.16"
14-Feb-12,"5,899.87"
13-Feb-12,"5,905.70"
10-Feb-12,"5,852.39"
9-Feb-12,"5,895.47"
8-Feb-12,"5,875.93"
7-Feb-12,"5,890.26"
6-Feb-12,"5,892.20"
3-Feb-12,"5,901.07"
2-Feb-12,"5,796.07"
1-Feb-12,"5,790.72"
31-Jan-12,"5,681.61"
30-Jan-12,"5,671.09"
27-Jan-12,"5,733.45"
26-Jan-12,"5,795.20"
25-Jan-12,"5,723.00"
24-Jan-12,"5,751.90"
23-Jan-12,"5,782.56"
20-Jan-12,"5,728.55"
19-Jan-12,"5,741.15"
18-Jan-12,"5,702.37"
17-Jan-12,"5,693.95"
16-Jan-12,"5,657.44"
13-Jan-12,"5,636.64"
12-Jan-12,"5,662.42"
11-Jan-12,"5,670.82"
10-Jan-12,"5,696.70"
9-Jan-12,"5,612.26"
6-Jan-12,"5,649.68"
5-Jan-12,"5,624.26"
4-Jan-12,"5,668.45"
3-Jan-12,"5,699.91"
30-Dec-11,"5,572.28"
29-Dec-11,"5,566.77"
28-Dec-11,"5,507.40"
23-Dec-11,"5,512.70"
22-Dec-11,"5,456.97"
21-Dec-11,"5,389.74"
20-Dec-11,"5,419.60"
19-Dec-11,"5,364.99"
16-Dec-11,"5,387.34"
15-Dec-11,"5,400.85"
14-Dec-11,"5,366.80"
13-Dec-11,"5,490.15"
12-Dec-11,"5,427.86"
9-Dec-11,"5,529.21"
8-Dec-11,"5,483.77"
7-Dec-11,"5,546.91"
6-Dec-11,"5,568.72"
5-Dec-11,"5,567.96"
2-Dec-11,"5,552.29"
1-Dec-11,"5,489.34"
30-Nov-11,"5,505.42"
29-Nov-11,"5,337.00"
28-Nov-11,"5,312.76"
25-Nov-11,"5,164.65"
24-Nov-11,"5,127.57"
